,F25,F67,F102,F104,F108,F95,F109,F23,F112,F113,F116,F117,F110,F115,F43,F42,F44,F134,F136,F6,category,1
11,1.72075,-0.4306042,-0.5986711,0.8503798,-2.1682222,-0.81128955,-1.214004,0.296144,-0.8112896,-0.3190495,0.11483291,0.12111464,0.04550982,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5894247,-0.5321886,-0.3540827,0,0.006578254995522644
12,1.72075,-0.4306042,-0.5986711,0.8503798,0.30309504,-0.81128955,-1.3727436,0.6765245,-0.8112896,-0.28858408,-0.7312871,-0.961488,-0.50428504,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5894247,-0.5321886,-0.3540827,0,6.568091037997419e-05
13,-0.60162526,-0.4306042,-0.58867365,0.661553,0.30309504,-0.81835794,-0.71336365,0.6765245,-0.818358,-0.28858408,-0.7312871,-0.25158468,-0.25847515,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5894247,-0.5321886,-0.3540827,0,6.130555424683802e-05
14,-0.6296671,-0.4306042,-0.59185463,1.165958,-2.1682222,-0.81835794,-1.214004,0.296144,-0.818358,-0.3190495,0.11483291,0.12111464,0.04550982,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5894247,-0.5321886,-0.3540827,0,0.0020377619489705856
15,0.28934088,-0.42249298,-0.5856225,0.0758625,0.30309504,-0.81835794,-1.3727436,0.6765245,-0.818358,-0.28858408,-0.7312871,-0.961488,-0.50428504,-0.4404178,-0.42328393,-0.5623356,-0.72743905,-0.5894247,-0.5321886,-0.3540827,0,5.685649793058185e-05
16,-0.89479005,-0.4265486,-0.5985412,-0.552539,-2.1682222,-0.81128955,-1.214004,0.296144,-0.8112896,-0.3190495,0.11483291,0.12111464,0.04550982,-0.4404178,-0.42328393,-0.56688815,-0.16008578,-0.6176263,-0.6190246,-0.3540827,0,0.003686724841666197
17,-0.9215573,-0.4103262,-0.58133787,-0.19246182,0.30309504,-0.81835794,-0.98199993,-0.8449975,-0.818358,-0.28858408,-0.7312871,0.33393395,0.34155306,-0.4404178,-0.15853691,0.065921165,-0.36744055,-0.59157753,-0.6557053,-0.3540827,0,0.0002299193812287399
18,-0.33650225,-0.4306042,-0.594776,0.17848384,0.30309504,-0.81835794,-0.92094624,-0.08423652,-0.818358,-0.34951493,0.9609529,0.022696203,0.02960668,-0.4404178,-0.15853691,0.065921165,-0.36744055,-0.59157753,-0.6557053,-0.3540827,0,0.008045707182262026
19,-0.20903929,-0.42249298,-0.5870507,-0.3180498,-2.1682222,-0.7971529,-0.43251657,0.6765245,-0.7971529,-0.2276532,-0.7312871,-0.44596297,-0.50428504,-0.4404178,-0.15853691,0.065921165,-0.36744055,-0.59157753,-0.6557053,-0.3540827,0,0.0003381012093219735
20,-0.20903929,-0.42249298,-0.5870507,-0.3180498,0.30309504,-0.7971529,-0.43251657,0.6765245,-0.7971529,-0.28858408,-0.7312871,-0.44596297,-0.50428504,-0.4404178,-0.15853691,0.065921165,-0.36744055,-0.59157753,-0.6557053,-0.3540827,0,8.194021720768167e-05
21,-0.20903929,-0.42249298,-0.5870507,-0.3180498,0.30309504,-0.7971529,-0.43251657,0.6765245,-0.7971529,-0.28858408,-0.7312871,-0.44596297,-0.50428504,-0.4404178,-0.15853691,0.065921165,-0.36744055,-0.59157753,-0.6557053,-0.3540827,0,8.194021720768167e-05
22,-0.20903929,-0.42249298,-0.5870507,-0.3180498,0.30309504,-0.7971529,-0.43251657,0.6765245,-0.7971529,-0.2276532,-0.7312871,-0.44596297,-0.50428504,-0.4404178,-0.15853691,0.065921165,-0.36744055,-0.59157753,-0.6557053,-0.3540827,0,8.392959073975274e-05
23,-0.6640821,-0.43871537,-0.5810782,-0.1432226,0.30309504,-0.81835794,-1.3971652,-0.46461707,-0.818358,-0.16672236,-0.7312871,-0.961488,-1.0040984,-0.4404178,0.54745513,1.4453545,1.4538893,-0.5261326,-0.31568092,-0.3540827,0,1.6276418445189483e-05
24,0.4308248,-0.43871537,-0.5990606,1.6079243,0.30309504,-0.81128955,-1.3971652,0.6765245,-0.8112896,-0.34951493,0.9609529,1.9254524,1.7948568,-0.4404178,-0.15853691,0.065921165,-0.36744055,-0.59157753,-0.6557053,-0.3540827,0,0.016811458712453625
25,-0.81321377,-0.43465978,-0.5989307,1.0956454,0.30309504,-0.81128955,-0.5302025,0.6765245,-0.8112896,-0.28858408,-0.7312871,-0.8665229,-0.9120274,-0.4404178,-0.15853691,0.065921165,-0.36744055,-0.59157753,-0.6557053,-0.3540827,0,1.7283079636311316e-05
26,-0.81321377,-0.43465978,-0.5989307,1.0956454,0.30309504,-0.81128955,-0.5302025,0.6765245,-0.8112896,-0.28858408,-0.7312871,-0.8665229,-0.9120274,-0.4404178,-0.15853691,0.065921165,-0.36744055,-0.59157753,-0.6557053,-0.3540827,0,1.7283079636311316e-05
